APC,Prov_State,OutptSvcs,AvgEstSubChg,AvgTotPay
0020 - Level II Excision/ Biopsy,WY,64,5023.15,846.59
0073 - Level III Endoscopy Upper Airway,AL,498,5098.21,1010.12
0073 - Level III Endoscopy Upper Airway,AR,52,5919.1,1085.09
0073 - Level III Endoscopy Upper Airway,AZ,111,7487.7,1175.61
0073 - Level III Endoscopy Upper Airway,CA,974,7024.64,1422.84
0073 - Level III Endoscopy Upper Airway,CO,88,8819.61,1195.17
0073 - Level III Endoscopy Upper Airway,CT,59,7622.36,1338.17
0073 - Level III Endoscopy Upper Airway,DC,54,6553.11,1231.51
0073 - Level III Endoscopy Upper Airway,DE,17,7225.64,1234.88
0073 - Level III Endoscopy Upper Airway,FL,332,8989.67,1051.09
0073 - Level III Endoscopy Upper Airway,GA,187,7956.12,1122.44
0073 - Level III Endoscopy Upper Airway,HI,18,2492.28,1325.63
0073 - Level III Endoscopy Upper Airway,IA,121,6722.49,1069.12
0073 - Level III Endoscopy Upper Airway,ID,115,1505.8,1020.99
0073 - Level III Endoscopy Upper Airway,IL,504,5777.64,1141.94
0073 - Level III Endoscopy Upper Airway,IN,120,7823.24,1150.88
0073 - Level III Endoscopy Upper Airway,KS,69,5553.81,1017.71
0073 - Level III Endoscopy Upper Airway,KY,49,9860.4,1038.08
0073 - Level III Endoscopy Upper Airway,LA,180,6356.3,1047.1
0073 - Level III Endoscopy Upper Airway,MA,800,2376.95,1277.46
0073 - Level III Endoscopy Upper Airway,ME,156,1900.91,1154.62
0073 - Level III Endoscopy Upper Airway,MI,313,3777.52,1175.25
0073 - Level III Endoscopy Upper Airway,MN,323,4030.88,1243.92
0073 - Level III Endoscopy Upper Airway,MO,302,5454.99,1052.81
0073 - Level III Endoscopy Upper Airway,MS,50,9309.72,1044.49
0073 - Level III Endoscopy Upper Airway,MT,37,1960.32,1169.93
0073 - Level III Endoscopy Upper Airway,NC,510,3752.83,1016.28
0073 - Level III Endoscopy Upper Airway,ND,132,1694.21,1040.14
0073 - Level III Endoscopy Upper Airway,NE,57,5289.16,1172.26
0073 - Level III Endoscopy Upper Airway,NH,116,3356.39,1200.84
0073 - Level III Endoscopy Upper Airway,NJ,104,8840.85,1327.92
0073 - Level III Endoscopy Upper Airway,NM,25,8123.77,1197.78
0073 - Level III Endoscopy Upper Airway,NV,24,14831.94,1257.57
0073 - Level III Endoscopy Upper Airway,NY,329,4889.57,1249.39
0073 - Level III Endoscopy Upper Airway,OH,534,4781.99,1138.96
0073 - Level III Endoscopy Upper Airway,OK,66,9924.63,1072.86
0073 - Level III Endoscopy Upper Airway,OR,256,2584.61,1133.48
0073 - Level III Endoscopy Upper Airway,PA,622,4703.67,1136.47
0073 - Level III Endoscopy Upper Airway,SC,115,7693.72,1089.67
0073 - Level III Endoscopy Upper Airway,SD,61,3013.21,1263.92
0073 - Level III Endoscopy Upper Airway,TN,323,5473.53,1047.27
0073 - Level III Endoscopy Upper Airway,TX,397,8207.1,1139.39
0073 - Level III Endoscopy Upper Airway,UT,106,3064.31,1116.17
0073 - Level III Endoscopy Upper Airway,VA,234,6471.77,1095.39
0073 - Level III Endoscopy Upper Airway,VT,142,1290.69,1226.69
0073 - Level III Endoscopy Upper Airway,WA,215,5011.06,1180.82
0073 - Level III Endoscopy Upper Airway,WI,336,3071.79,1129.98
0073 - Level III Endoscopy Upper Airway,WV,67,5459.51,1018.07
0074 - Level IV Endoscopy Upper Airway,AL,366,11776.62,1688.63
0074 - Level IV Endoscopy Upper Airway,AR,169,9238.84,1781.77
0074 - Level IV Endoscopy Upper Airway,AZ,180,14804.59,1981.57
0074 - Level IV Endoscopy Upper Airway,CA,830,20497.18,2446.93
0074 - Level IV Endoscopy Upper Airway,CO,123,14975.62,1951.07
